"network","AUC","normalized_AUC","ID"
"real_PPIN",0.47490864451299,0.475474685805621,"HiG_blood"
"random",0.998809523809513,1,"HiG_blood"
"scale_free",0.998809523809513,1,"HiG_blood"
"small_world",0.998809523809513,1,"HiG_blood"
"deg_preserving",0.415053671348627,0.41554837179124,"HiG_blood"
"real_PPIN",0.453935709436912,0.454491322300358,"HiG_cardiac.b"
"random",0.998777506112475,1,"HiG_cardiac.b"
"scale_free",0.998777506112475,1,"HiG_cardiac.b"
"small_world",0.998777506112475,1,"HiG_cardiac.b"
"deg_preserving",0.412869526561455,0.413374874819177,"HiG_cardiac.b"
"real_PPIN",0.460488987859147,0.461008141171276,"HiG_cardiac.c"
"random",0.998873873873876,1,"HiG_cardiac.c"
"scale_free",0.998873873873876,1,"HiG_cardiac.c"
"small_world",0.998873873873876,1,"HiG_cardiac.c"
"deg_preserving",0.394868627092091,0.395313800290616,"HiG_cardiac.c"
"real_PPIN",0.46193696413475,0.462445145613446,"HiG_endothelial.a"
"random",0.998901098901101,1,"HiG_endothelial.a"
"scale_free",0.998901098901101,1,"HiG_endothelial.a"
"small_world",0.998901098901101,1,"HiG_endothelial.a"
"deg_preserving",0.426569254920903,0.427038528028626,"HiG_endothelial.a"
"real_PPIN",0.450113795518245,0.450583152969248,"HiG_endothelial.c"
"random",0.998958333333348,1,"HiG_endothelial.c"
"scale_free",0.998958333333348,1,"HiG_endothelial.c"
"small_world",0.998958333333348,1,"HiG_endothelial.c"
"deg_preserving",0.389391562064137,0.389797601232081,"HiG_endothelial.c"
"real_PPIN",0.449243302954951,0.44977120342846,"HiG_endothelial.d"
"random",0.998826291079808,1,"HiG_endothelial.d"
"scale_free",0.998826291079808,1,"HiG_endothelial.d"
"small_world",0.998826291079808,1,"HiG_endothelial.d"
"deg_preserving",0.401891742612552,0.402364000829489,"HiG_endothelial.d"
"real_PPIN",0.443435959754552,0.444040920136207,"HiG_extraembryonicMesoderm"
"random",0.998637602179841,1,"HiG_extraembryonicMesoderm"
"scale_free",0.998637602179841,1,"HiG_extraembryonicMesoderm"
"small_world",0.998637602179841,1,"HiG_extraembryonicMesoderm"
"deg_preserving",0.406662540475672,0.407217332481776,"HiG_extraembryonicMesoderm"
"real_PPIN",0.446329107845958,0.44695685623955,"HiG_mesodermProgenitors"
"random",0.998595505617985,1,"HiG_mesodermProgenitors"
"scale_free",0.998595505617985,1,"HiG_mesodermProgenitors"
"small_world",0.998595505617985,1,"HiG_mesodermProgenitors"
"deg_preserving",0.401465315791164,0.402029964617871,"HiG_mesodermProgenitors"
"real_PPIN",0.449764623026145,0.450449196272765,"HiG_mixedMesoderm.a"
"random",0.998480243161083,1,"HiG_mixedMesoderm.a"
"scale_free",0.998480243161083,1,"HiG_mixedMesoderm.a"
"small_world",0.998480243161083,1,"HiG_mixedMesoderm.a"
"deg_preserving",0.413827933872035,0.414457808961647,"HiG_mixedMesoderm.a"
"real_PPIN",0.456758362104164,0.457378115648392,"HiG_mixedMesoderm.b"
"random",0.998644986449889,1,"HiG_mixedMesoderm.b"
"scale_free",0.998644986449889,1,"HiG_mixedMesoderm.b"
"small_world",0.998644986449889,1,"HiG_mixedMesoderm.b"
"deg_preserving",0.421037977503065,0.421609263768323,"HiG_mixedMesoderm.b"
"real_PPIN",0.458319637104694,0.458938152134527,"HiG_pharyngealMesoderm"
"random",0.998652291105117,1,"HiG_pharyngealMesoderm"
"scale_free",0.998652291105117,1,"HiG_pharyngealMesoderm"
"small_world",0.998652291105117,1,"HiG_pharyngealMesoderm"
"deg_preserving",0.409575672576167,0.410128406277352,"HiG_pharyngealMesoderm"
"real_PPIN",0.461251435132002,0.461934770591452,"HiG_presomiticMesoderm.a"
"random",0.998520710059182,1,"HiG_presomiticMesoderm.a"
"scale_free",0.998520710059182,1,"HiG_presomiticMesoderm.a"
"small_world",0.998520710059182,1,"HiG_presomiticMesoderm.a"
"deg_preserving",0.407449439194547,0.40805306799335,"HiG_presomiticMesoderm.a"
"real_PPIN",0.455993187267065,0.456547249463011,"HiG_presomiticMesoderm.b"
"random",0.998786407767,1,"HiG_presomiticMesoderm.b"
"scale_free",0.998786407767,1,"HiG_presomiticMesoderm.b"
"small_world",0.998786407767,1,"HiG_presomiticMesoderm.b"
"deg_preserving",0.413882426947126,0.414385321755077,"HiG_presomiticMesoderm.b"
"real_PPIN",0.435827155584594,0.436494578487483,"HiG_somiticMesoderm"
"random",0.998470948012226,1,"HiG_somiticMesoderm"
"scale_free",0.998470948012226,1,"HiG_somiticMesoderm"
"small_world",0.998470948012226,1,"HiG_somiticMesoderm"
"deg_preserving",0.40888175646889,0.409507915360882,"HiG_somiticMesoderm"
"real_PPIN",0.459261133603274,0.45981114693694,"HiG_endothelial.b"
"random",0.998803827751175,1,"HiG_endothelial.b"
"scale_free",0.998803827751175,1,"HiG_endothelial.b"
"small_world",0.998803827751175,1,"HiG_endothelial.b"
"deg_preserving",0.420650073610631,0.421153846153886,"HiG_endothelial.b"
"real_PPIN",0.443556008072171,0.444101587417891,"HiG_cardiac.a"
"random",0.998771498771504,1,"HiG_cardiac.a"
"scale_free",0.998771498771504,1,"HiG_cardiac.a"
"small_world",0.998771498771504,1,"HiG_cardiac.a"
"deg_preserving",0.399964028996305,0.400455989671575,"HiG_cardiac.a"
"real_PPIN",0.275568181818182,0.284457478005865,"HiGCTS_endothelial.b"
"random",0.96875,1,"HiGCTS_endothelial.b"
"scale_free",0.96875,1,"HiGCTS_endothelial.b"
"small_world",0.96875,1,"HiGCTS_endothelial.b"
"deg_preserving",0.28125,0.290322580645161,"HiGCTS_endothelial.b"
"real_PPIN",0.384615384615385,0.4,"HiGCTS_cardiac.a"
"random",0.961538461538462,1,"HiGCTS_cardiac.a"
"scale_free",0.961538461538462,1,"HiGCTS_cardiac.a"
"small_world",0.961538461538462,1,"HiGCTS_cardiac.a"
"deg_preserving",0.346153846153846,0.36,"HiGCTS_cardiac.a"
"real_PPIN",0.314685314685315,0.319526627218935,"CTS_endothelial.b"
"random",0.984848484848484,1,"CTS_endothelial.b"
"scale_free",0.984848484848484,1,"CTS_endothelial.b"
"small_world",0.984848484848484,1,"CTS_endothelial.b"
"deg_preserving",0.295454545454545,0.3,"CTS_endothelial.b"
"real_PPIN",0.307207207207207,0.311415525114155,"CTS_cardiac.a"
"random",0.986486486486486,1,"CTS_cardiac.a"
"scale_free",0.986486486486486,1,"CTS_cardiac.a"
"small_world",0.986486486486486,1,"CTS_cardiac.a"
"deg_preserving",0.271171171171171,0.274885844748859,"CTS_cardiac.a"
